"date","Sleep.Score","Total.Sleep.Duration","Total.Bedtime","Awake.Time","REM.Sleep.Duration","Light.Sleep.Duration","Deep.Sleep.Duration","Bedtime.Start","Bedtime.End"
"2022-06-02",58,19110,24240,5130,3180,10470,5460,"2022-06-02T02:11:07.000+02:00","2022-06-02T08:55:07.000+02:00"
"2022-06-03",47,14820,18780,3960,2910,8670,3240,"2022-06-03T05:50:19.000+02:00","2022-06-03T11:03:19.000+02:00"
"2022-06-04",55,17760,20400,2640,4020,9210,4530,"2022-06-04T06:28:35.000+02:00","2022-06-04T12:08:35.000+02:00"
"2022-06-05",75,28980,35580,6600,4320,15660,9000,"2022-06-05T01:42:44.000+02:00","2022-06-05T11:35:44.000+02:00"
"2022-06-06",75,27630,33540,5910,5580,11490,10560,"2022-06-06T01:04:06.000+02:00","2022-06-06T10:23:06.000+02:00"
"2022-06-07",78,27630,32640,5010,5430,12870,9330,"2022-06-07T01:14:18.000+02:00","2022-06-07T10:18:18.000+02:00"
"2022-06-08",72,25890,33780,7890,4260,10860,10770,"2022-06-08T01:04:21.000+02:00","2022-06-08T10:27:21.000+02:00"
"2022-06-09",68,23400,28140,4740,4020,13560,5820,"2022-06-09T01:04:56.000+02:00","2022-06-09T08:53:56.000+02:00"
"2022-06-10",68,26520,31740,5220,5640,16710,4170,"2022-06-10T02:06:04.000+02:00","2022-06-10T10:55:04.000+02:00"
"2022-06-11",83,32880,39960,7080,8250,14220,10410,"2022-06-11T05:59:11.000+02:00","2022-06-11T17:05:11.000+02:00"
"2022-06-12",74,26910,29580,2670,9000,10470,7440,"2022-06-12T08:07:27.000+02:00","2022-06-12T16:20:27.000+02:00"
"2022-06-13",76,27270,32220,4950,5790,12900,8580,"2022-06-13T01:20:41.000+02:00","2022-06-13T10:17:41.000+02:00"
"2022-06-14",74,26340,29460,3120,4410,13980,7950,"2022-06-14T01:46:26.000+02:00","2022-06-14T09:57:26.000+02:00"
"2022-06-15",51,14340,15600,1260,3030,5610,5700,"2022-06-15T07:24:36.000+02:00","2022-06-15T11:44:36.000+02:00"
"2022-06-16",75,25950,28800,2850,5370,11970,8610,"2022-06-16T01:02:08.000+02:00","2022-06-16T09:02:08.000+02:00"
"2022-06-17",64,23520,29460,5940,5550,10770,7200,"2022-06-17T04:28:58.000+02:00","2022-06-17T12:39:58.000+02:00"
"2022-06-18",67,24210,27780,3570,6450,10590,7170,"2022-06-18T06:49:26.000+02:00","2022-06-18T14:32:26.000+02:00"
"2022-06-19",72,24300,27900,3600,7050,10230,7020,"2022-06-19T06:46:09.000+02:00","2022-06-19T14:31:09.000+02:00"
"2022-06-20",57,18960,22260,3300,2310,10440,6210,"2022-06-20T05:25:29.000+02:00","2022-06-20T11:36:29.000+02:00"
"2022-06-21",82,32040,35820,3780,5190,16320,10530,"2022-06-21T00:50:25.000+02:00","2022-06-21T10:47:25.000+02:00"
"2022-06-22",54,17400,22140,4740,4170,7860,5370,"2022-06-22T06:41:50.000+02:00","2022-06-22T12:50:50.000+02:00"
"2022-06-23",60,21870,23760,1890,3810,14370,3690,"2022-06-23T04:23:01.000+02:00","2022-06-23T10:59:01.000+02:00"
"2022-06-24",72,26940,33600,6660,5850,16020,5070,"2022-06-24T02:05:04.000+02:00","2022-06-24T11:25:04.000+02:00"
"2022-06-25",65,22320,28380,6060,5520,10620,6180,"2022-06-25T05:43:34.000+02:00","2022-06-25T13:36:34.000+02:00"
"2022-06-26",61,27780,35760,7980,4800,16770,6210,"2022-06-26T03:54:50.000+02:00","2022-06-26T13:50:50.000+02:00"
"2022-06-27",74,27450,32460,5010,4530,16710,6210,"2022-06-27T00:41:15.000+02:00","2022-06-27T09:42:15.000+02:00"
"2022-06-28",61,23850,30240,6390,3480,16380,3990,"2022-06-28T01:06:38.000+02:00","2022-06-28T09:30:38.000+02:00"
"2022-06-29",59,24480,31380,6900,3810,16080,4590,"2022-06-29T01:25:35.000+02:00","2022-06-29T10:08:35.000+02:00"
"2022-06-30",68,25350,32880,7530,4800,14100,6450,"2022-06-30T00:48:40.000+02:00","2022-06-30T09:56:40.000+02:00"
"2022-07-01",66,22590,28440,5850,5550,11040,6000,"2022-07-01T03:05:41.000+02:00","2022-07-01T10:59:41.000+02:00"
"2022-07-02",54,20730,27180,6450,6060,9750,4920,"2022-07-02T05:14:45.000+02:00","2022-07-02T12:47:45.000+02:00"
"2022-07-03",68,22740,27540,4800,6330,7920,8490,"2022-07-03T06:29:24.000+02:00","2022-07-03T14:08:24.000+02:00"
"2022-07-04",63,25050,30480,5430,2970,17820,4260,"2022-07-04T01:27:27.000+02:00","2022-07-04T09:55:27.000+02:00"
"2022-07-05",47,21540,31980,10440,3510,14970,3060,"2022-07-05T01:24:33.000+02:00","2022-07-05T10:17:33.000+02:00"
"2022-07-06",48,13050,14460,1410,1710,6390,4950,"2022-07-06T07:38:33.000+02:00","2022-07-06T11:39:33.000+02:00"
"2022-07-07",72,27120,33360,6240,4320,13410,9390,"2022-07-07T00:48:58.000+02:00","2022-07-07T10:04:58.000+02:00"
"2022-07-08",31,6330,12420,6090,870,3090,2370,"2022-07-08T10:16:30.000+02:00","2022-07-08T13:43:30.000+02:00"
"2022-07-09",81,27990,31620,3630,6870,11790,9330,"2022-07-09T07:17:59.000+02:00","2022-07-09T16:04:59.000+02:00"
"2022-07-10",42,14250,18540,4290,1380,9600,3270,"2022-07-10T08:26:54.000+02:00","2022-07-10T13:35:54.000+02:00"
"2022-07-11",77,29250,34800,5550,5460,15930,7860,"2022-07-11T00:38:29.000+02:00","2022-07-11T10:18:29.000+02:00"
"2022-07-12",54,22560,29820,7260,3180,15720,3660,"2022-07-12T01:00:22.000+02:00","2022-07-12T09:17:22.000+02:00"
"2022-07-13",55,20280,27480,7200,2610,12090,5580,"2022-07-13T03:47:41.000+02:00","2022-07-13T11:25:41.000+02:00"
"2022-07-14",67,26310,31920,5610,6930,15990,3390,"2022-07-14T01:19:15.000+02:00","2022-07-14T10:11:15.000+02:00"
"2022-07-15",51,17190,20220,3030,3450,8940,4800,"2022-07-15T07:34:39.000+02:00","2022-07-15T13:11:39.000+02:00"
"2022-07-16",57,26550,34020,7470,3990,19500,3060,"2022-07-16T01:35:35.000+02:00","2022-07-16T11:02:35.000+02:00"
